"Season" "Team" "Player" "Position" "Matches" "Goals"
"2004" "2004-05" "Betis" "Juan JosÇ Ca§as GutiÇrrez" "Midfielder" 7 0
"2005" "2004-05" "Betis" "Joaqu°n S†nchez Rodr°guez" "Forward" 25 5
"2006" "2004-05" "Betis" "Ricardo Oliveira" "Forward" 29 22
"2007" "2004-05" "Betis" "Luis Eduardo Schmidt" "Forward" 23 11
"2008" "2004-05" "Betis" "Fernando Miguel Fern†ndez Escribano" "Forward" 12 5
"2009" "2004-05" "Betis" "Luis Fern†ndez GutiÇrrez" "Midfielder" 17 0
"2010" "2004-05" "Betis" "Fernando Varela Ramos" "Midfielder" 15 0
"2011" "2004-05" "Betis" "Benjam°n Zarandona Esono" "Midfielder" 3 0
"2012" "2004-05" "Betis" "Daniel Alejandro Lembo Betancour" "Defender" 5 0
"2013" "2004-05" "Betis" "Washington Eduardo Tais Bidega°n" "Midfielder" 9 0
"2017" "2004-05" "Betis" "Paolo Castellini" "Defender" 6 0
"2019" "2004-05" "Betis" "Juan Pablo Ni§o Castellano" "Midfielder" 1 0
"2021" "2004-05" "Betis" "Ismael Santiago L¢pez L¢pez" "Forward" 1 0
"2022" "2004-05" "Espanyol" "Hugo Benjam°n Ibarra" "Midfielder" 26 1
"2023" "2004-05" "Espanyol" "David Garc°a De la Cruz" "Midfielder" 28 0
"2024" "2004-05" "Espanyol" "Alberto Lopo Garc°a" "Defender" 34 3
"2025" "2004-05" "Espanyol" "Mauricio Roberto Pochettino Trossero" "Defender" 24 1
"2026" "2004-05" "Espanyol" "Maximiliano RubÇn Rodr°guez" "Midfielder" 17 15
"2027" "2004-05" "Espanyol" "Antonio µlvarez PÇrez" "Midfielder" 26 0
"2028" "2004-05" "Espanyol" "Iv†n De la Pe§a L¢pez" "Midfielder" 11 3
"2029" "2004-05" "Espanyol" "Ra£l Tamudo Montero" "Forward" 25 11
"2030" "2004-05" "Espanyol" "„scar Serrano Rodr°guez" "Forward" 11 2
"2031" "2004-05" "Espanyol" "Daniel Garc°a Lara" "Forward" 10 5
"2032" "2004-05" "Espanyol" "Daniel Jarque Gonz†lez" "Defender" 17 1
"2033" "2004-05" "Espanyol" "Fredson Camara Pereira" "Midfielder" 5 3
"2034" "2004-05" "Espanyol" "Antoni Soldevilla CastellsaguÇ" "Defender" 14 1
"2035" "2004-05" "Espanyol" "∑lex Fern†ndez S†nchez" "Midfielder" 8 0
"2038" "2004-05" "Espanyol" "∑ngel Morales Cuerva" "Midfielder" 1 0
"2039" "2004-05" "Espanyol" "Jonathan Soriano Casas" "Forward" 2 1
"2040" "2004-05" "Espanyol" "Didier Domi" "Defender" 3 0
"2042" "2004-05" "Espanyol" "‡scar Mi§ambres Pascual" "Midfielder" 1 0
"2045" "2004-05" "Sevilla" "Sergio Ramos Garc°a" "Midfielder" 28 2
"2046" "2004-05" "Sevilla" "David Castedo Escudero" "Midfielder" 35 0
"2047" "2004-05" "Sevilla" "Francisco Javier Vicente Navarro" "Defender" 25 1
"2048" "2004-05" "Sevilla" "Pablo Alfaro Armengot" "Defender" 16 0
"2049" "2004-05" "Sevilla" "Aitor Ocio Carri¢n" "Defender" 14 1
"2050" "2004-05" "Sevilla" "Daniel Alves Da Silva" "Midfielder" 24 2
"2051" "2004-05" "Sevilla" "Josep Llu°s Mart° Soler" "Midfielder" 28 0
"2052" "2004-05" "Sevilla" "Renato Dirnei Florencio Santos" "Midfielder" 19 3
"2053" "2004-05" "Sevilla" "Adriano Correia Claro" "Midfielder" 5 2
"2054" "2004-05" "Sevilla" "Julio CÇsar Clemente Baptista" "Forward" 28 18
"2055" "2004-05" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 9 2
"2056" "2004-05" "Sevilla" "Antonio Ramiro PÇrez" "Forward" 2 2
"2057" "2004-05" "Sevilla" "Debray Dar°o Silva Pereira" "Forward" 4 2
"2058" "2004-05" "Sevilla" "Jordi L¢pez Felpeto" "Midfielder" 5 1
"2059" "2004-05" "Sevilla" "Fernando Sales De los Cobos" "Midfielder" 5 0
"2061" "2004-05" "Sevilla" "Jes£s Mora Nieto" "Midfielder" 2 1
"2063" "2004-05" "Sevilla" "Antonio L¢pez µlvarez" "Midfielder" 4 1
"2064" "2004-05" "Sevilla" "Ariza Makukula" "Forward" 1 1
"2065" "2004-05" "Sevilla" "Francisco Javier Casquero Paredes" "Midfielder" 2 0
"2066" "2004-05" "Sevilla" "Pablo Ruiz Barrero" "Defender" 4 0
"2067" "2004-05" "Sevilla" "Juan Luis Fern†ndez Redondo" "Midfielder" 1 0
"2068" "2004-05" "Sevilla" "David Prieto G†lvez" "Defender" 4 0
"2069" "2004-05" "Sevilla" "Antonio JosÇ Puerta PÇrez" "Midfielder" 1 1
"2072" "2004-05" "Valencia" "Marco Antonio Simoes Caneira" "Midfielder" 16 1
"2073" "2004-05" "Valencia" "Amedeo Carboni" "Defender" 20 0
"2074" "2004-05" "Valencia" "Carlos Marchena L¢pez" "Defender" 30 2
"2075" "2004-05" "Valencia" "David Navarro Pedr¢s" "Defender" 23 1
"2076" "2004-05" "Valencia" "David Albelda AliquÇs" "Midfielder" 26 0
"2077" "2004-05" "Valencia" "RubÇn Baraja Vegas" "Midfielder" 19 7
"2078" "2004-05" "Valencia" "Pablo CÇsar Aimar Giordano" "Midfielder" 12 4
"2079" "2004-05" "Valencia" "Francisco Joaqu°n PÇrez Rufete" "Midfielder" 7 3
"2080" "2004-05" "Valencia" "Marco Di Vaio" "Forward" 5 11
"2081" "2004-05" "Valencia" "Miguel µngel Ferrer Mart°nez" "Forward" 11 8
"2082" "2004-05" "Valencia" "Miguel µngel Angulo Valderrey" "Forward" 13 3
"2083" "2004-05" "Valencia" "Emiliano Moretti" "Midfielder" 11 1
"2084" "2004-05" "Valencia" "Mohamed Lamine Sissoko" "Midfielder" 11 0
"2085" "2004-05" "Valencia" "Crist¢bal Emilio Torres Ruiz" "Midfielder" 18 0
"2086" "2004-05" "Valencia" "Fabio Aurelio Rodrigues" "Midfielder" 8 0
"2087" "2004-05" "Valencia" "Stefano Fiore" "Midfielder" 8 2
"2088" "2004-05" "Valencia" "Bernardo Corradi" "Forward" 9 3
"2089" "2004-05" "Valencia" "Roberto Fabi†n Ayala" "Defender" 14 0
"2091" "2004-05" "Valencia" "Vicente Rodr°guez GuillÇn" "Midfielder" 6 3
"2092" "2004-05" "Valencia" "Manuel Ruz Ba§os" "Midfielder" 2 0
"2093" "2004-05" "Valencia" "Mauricio AndrÇs Pellegrino Luna" "Defender" 1 0
"2094" "2004-05" "Valencia" "Rafael Carlos Santacruz AragonÇs" "Defender" 1 0
"2097" "2004-05" "Deportivo de La Coru§a" "Manuel Pablo Garc°a D°az" "Midfielder" 24 0
"2098" "2004-05" "Deportivo de La Coru§a" "Enrique Fern†ndez Romero" "Midfielder" 25 0
"2099" "2004-05" "Deportivo de La Coru§a" "Jorge Manuel Almeida Gomes De Andrade" "Defender" 35 1
"2100" "2004-05" "Deportivo de La Coru§a" "Lionel Sebasti†n Scaloni" "Defender" 17 2
"2101" "2004-05" "Deportivo de La Coru§a" "Juan Carlos Valer¢n Santana" "Midfielder" 23 1
"2102" "2004-05" "Deportivo de La Coru§a" "Sergio Gonz†lez Soriano" "Midfielder" 28 3
"2103" "2004-05" "Deportivo de La Coru§a" "Aldo Pedro Duscher" "Midfielder" 14 0
"2104" "2004-05" "Deportivo de La Coru§a" "Albert Luque Martos" "Forward" 13 11
"2105" "2004-05" "Deportivo de La Coru§a" "Pedro Munitis µlvarez" "Forward" 12 1
"2106" "2004-05" "Deportivo de La Coru§a" "Diego Trist†n Herrera" "Forward" 9 9
"2107" "2004-05" "Deportivo de La Coru§a" "V°ctor S†nchez Del Amo" "Midfielder" 7 3
"2108" "2004-05" "Deportivo de La Coru§a" "Francisco Javier Gonz†lez PÇrez" "Midfielder" 2 1
"2109" "2004-05" "Deportivo de La Coru§a" "Joan Capdevila MÇndez" "Midfielder" 13 1
"2110" "2004-05" "Deportivo de La Coru§a" "Mauro Da Silva Gomes" "Midfielder" 8 0
"2111" "2004-05" "Deportivo de La Coru§a" "CÇsar Mart°n Villar" "Defender" 7 0
"2112" "2004-05" "Deportivo de La Coru§a" "Fabricio Coloccini" "Defender" 13 1
"2113" "2004-05" "Deportivo de La Coru§a" "Walter Gerardo Pandiani Urquiza" "Forward" 5 6
"2114" "2004-05" "Deportivo de La Coru§a" "Pablo Amo Aguado" "Defender" 6 1
"2115" "2004-05" "Deportivo de La Coru§a" "HÇctor Berenguel Del Pino" "Midfielder" 2 0
"2116" "2004-05" "Deportivo de La Coru§a" "Francisco JimÇnez Tejada" "Forward" 2 2
"2120" "2004-05" "Athletic Club" "Andoni Iraola Sagarna" "Midfielder" 20 4
"2121" "2004-05" "Athletic Club" "Asier Del Horno Cosgaya" "Midfielder" 20 3
"2122" "2004-05" "Athletic Club" "Ander Murillo Garc°a" "Defender" 28 0
"2123" "2004-05" "Athletic Club" "Luis Prieto Zalbidegoitia" "Defender" 25 0
"2124" "2004-05" "Athletic Club" "Pablo Orbaiz Lesaka" "Midfielder" 33 3
"2125" "2004-05" "Athletic Club" "Carlos Gurpegui Nausia" "Midfielder" 30 4
"2126" "2004-05" "Athletic Club" "Francisco Javier Yeste Navarro" "Midfielder" 11 8
"2127" "2004-05" "Athletic Club" "Santiago Ezquerro Mar°n" "Forward" 20 11
"2128" "2004-05" "Athletic Club" "Joseba Etxeberr°a Lizardi" "Forward" 15 3
"2129" "2004-05" "Athletic Club" "Ismael Urzaiz Aranda" "Forward" 10 12
"2130" "2004-05" "Athletic Club" "Roberto Mart°nez R°podas" "Midfielder" 16 3
"2131" "2004-05" "Athletic Club" "Javier Casas Cuevas" "Midfielder" 9 0
"2132" "2004-05" "Athletic Club" "Jes£s Mar°a Lacruz G¢mez" "Defender" 10 2
"2133" "2004-05" "Athletic Club" "Fernando Javier Llorente Torres" "Forward" 4 3
"2134" "2004-05" "Athletic Club" "Joseba Arriaga Dosantos" "Forward" 2 0
"2136" "2004-05" "Athletic Club" "Javier Gonz†lez G¢mez" "Midfielder" 5 0
"2137" "2004-05" "Athletic Club" "Aritz Solabarrieta Aranzamendi" "Midfielder" 2 0
"2139" "2004-05" "Athletic Club" "Aitor Karanka De la Hoz" "Defender" 4 0
"2140" "2004-05" "Athletic Club" "CÇsar Fern†ndez de las Heras Caneda" "Midfielder" 3 0
"2142" "2004-05" "Athletic Club" "Felipe GurÇndez Aldanondo" "Midfielder" 1 0
"2145" "2004-05" "Athletic Club" "Jon Moya Mart°n" "Midfielder" 1 0
"2146" "2004-05" "M†laga" "Fernando Sanz Dur†n" "Defender" 33 0
"2147" "2004-05" "M†laga" "Vicente Valcarce Cano" "Midfielder" 34 1
"2148" "2004-05" "M†laga" "CÇsar Gonz†lez Navas" "Defender" 20 1
"2149" "2004-05" "M†laga" "Juan Jes£s GutiÇrrez Robles" "Midfielder" 30 1
"2150" "2004-05" "M†laga" "Miguel µngel Lozano Ayala" "Midfielder" 25 3
"2151" "2004-05" "M†laga" "Sergio Paulo Barbosa Valente" "Midfielder" 11 4
"2152" "2004-05" "M†laga" "Gerardo Garc°a Le¢n" "Midfielder" 28 1
"2153" "2004-05" "M†laga" "Clever Marcelo Romero Silva" "Midfielder" 15 0
"2154" "2004-05" "M†laga" "Edgar Patricio Carvalho Pacheco" "Forward" 8 3
"2155" "2004-05" "M†laga" "Marcio Amoroso Dos Santos" "Forward" 7 5
"2156" "2004-05" "M†laga" "Juan Antonio Rodr°guez Villamuela" "Midfielder" 12 5
"2157" "2004-05" "M†laga" "Pablo CÇsar Wanchope Watson" "Forward" 9 5
"2158" "2004-05" "M†laga" "Joao Fernando Nelo" "Forward" 4 9
"2159" "2004-05" "M†laga" "Iv†n Leko" "Midfielder" 5 0
"2160" "2004-05" "M†laga" "Alexis Ruano Delgado" "Defender" 10 0
"2161" "2004-05" "M†laga" "Antonio Manuel S†nchez G¢mez" "Midfielder" 3 0
"2162" "2004-05" "M†laga" "Alexandre Geijo Pazos" "Forward" 2 0
"2163" "2004-05" "M†laga" "Carlos Manuel de Oliveira Magalhaes" "Defender" 3 0
"2164" "2004-05" "M†laga" "Ra£l Iznata Zabala" "Midfielder" 2 0
"2168" "2004-05" "M†laga" "Fernando Usero Toledano" "Midfielder" 1 0
"2169" "2004-05" "AtlÇtico de Madrid" "Juan Velasco Damas" "Midfielder" 16 0
"2170" "2004-05" "AtlÇtico de Madrid" "Antonio L¢pez Guerrero" "Midfielder" 27 3
"2171" "2004-05" "AtlÇtico de Madrid" "Pablo Ib†§ez Tebar" "Defender" 35 3
"2172" "2004-05" "AtlÇtico de Madrid" "Luis Amaranto Perea Mosquera" "Defender" 28 0
"2173" "2004-05" "AtlÇtico de Madrid" "Sergi Barju†n Esclusa" "Midfielder" 21 0
"2174" "2004-05" "AtlÇtico de Madrid" "Peter Bernard Luccin" "Midfielder" 16 0
"2175" "2004-05" "AtlÇtico de Madrid" "Ariel Miguel Santiago Ibagaza" "Midfielder" 17 3
"2176" "2004-05" "AtlÇtico de Madrid" "Gonzalo Colsa Albendea" "Midfielder" 9 3
"2177" "2004-05" "AtlÇtico de Madrid" "Fernando JosÇ Torres Sanz" "Forward" 36 16
"2178" "2004-05" "AtlÇtico de Madrid" "Salvador Ballesta Vialcho" "Forward" 8 7
"2179" "2004-05" "AtlÇtico de Madrid" "Marcelo Fabi†n Sosa Farias" "Midfielder" 10 0
"2180" "2004-05" "AtlÇtico de Madrid" "Jorge Larena-Avellaneda Roig" "Midfielder" 3 1
"2181" "2004-05" "AtlÇtico de Madrid" "Jesper Gronkjaer" "Midfielder" 10 0
"2182" "2004-05" "AtlÇtico de Madrid" "JosÇ Antonio Garc°a Calvo" "Defender" 9 0
"2183" "2004-05" "AtlÇtico de Madrid" "Juan Carlos Aguilera Mart°n" "Midfielder" 5 0
"2184" "2004-05" "AtlÇtico de Madrid" "Francisco JosÇ Molinero Calder¢n" "Midfielder" 9 0
"2185" "2004-05" "AtlÇtico de Madrid" "Fernando Macedo Da Silva Rodilla" "Midfielder" 3 1
"2186" "2004-05" "AtlÇtico de Madrid" "Richard Dar°o N£§ez Pereyra" "Forward" 2 2
"2187" "2004-05" "AtlÇtico de Madrid" "Kizito Musampa" "Midfielder" 2 0
"2189" "2004-05" "AtlÇtico de Madrid" "Diego Pablo Simeone Gonz†lez" "Midfielder" 1 0
"2190" "2004-05" "AtlÇtico de Madrid" "Braulio N¢brega Rodr°guez" "Forward" 1 0
"2194" "2004-05" "Real Zaragoza" "µlvaro Luiz Maior De Aquino" "Defender" 33 2
"2195" "2004-05" "Real Zaragoza" "Delio CÇsar Toledo Rodas" "Midfielder" 20 0
"2196" "2004-05" "Real Zaragoza" "Gabriel Alejandro Milito" "Defender" 35 3
"2197" "2004-05" "Real Zaragoza" "JosÇ Mar°a Movilla Cubero" "Midfielder" 26 0
"2198" "2004-05" "Real Zaragoza" "Savio Bortolini Pimentel" "Midfielder" 27 10
"2199" "2004-05" "Real Zaragoza" "Leonardo Daniel Ponzio" "Midfielder" 21 1
"2200" "2004-05" "Real Zaragoza" "Alberto Zapater Arjol" "Midfielder" 13 1
"2201" "2004-05" "Real Zaragoza" "RubÇn Gracia Calmache" "Midfielder" 8 2
"2202" "2004-05" "Real Zaragoza" "David Villa S†nchez" "Forward" 24 15
"2203" "2004-05" "Real Zaragoza" "Luciano Mart°n Galletti" "Forward" 17 2
"2204" "2004-05" "Real Zaragoza" "‡scar Javier Gonz†lez Marcos" "Midfielder" 4 6
"2205" "2004-05" "Real Zaragoza" "Agust°n Aranz†bal Alkorta" "Midfielder" 16 0
"2206" "2004-05" "Real Zaragoza" "David Generelo Miranda" "Midfielder" 3 4
"2207" "2004-05" "Real Zaragoza" "Luis Carlos Cuartero Laforga" "Defender" 7 0
"2208" "2004-05" "Real Zaragoza" "Fernando Soriano Marco" "Midfielder" 2 0
"2210" "2004-05" "Real Zaragoza" "Manuel Borja Calvar Sim¢n" "Defender" 2 1
"2216" "2004-05" "Getafe" "Victoriano Rivas µlvaro" "Defender" 37 4
"2217" "2004-05" "Getafe" "Mariano AndrÇs Pern°a Molina" "Midfielder" 35 3
"2218" "2004-05" "Getafe" "David Belenguer Reverter" "Defender" 28 0
"2219" "2004-05" "Getafe" "JosÇ Manuel Yanguas Calleja" "Defender" 18 0
"2220" "2004-05" "Getafe" "µngel Manuel Vivar Dorado" "Midfielder" 32 3
"2221" "2004-05" "Getafe" "Diego Rivas GutiÇrrez" "Midfielder" 26 0
"2222" "2004-05" "Getafe" "Mario GutiÇrrez Cotelo" "Midfielder" 20 2
"2223" "2004-05" "Getafe" "Iv†n S†nchez-Rico Soto" "Forward" 8 2
"2224" "2004-05" "Getafe" "Gheorghe Craioveanu" "Forward" 2 2
"2225" "2004-05" "Getafe" "Jorge Gonz†lez D°az" "Forward" 4 2
"2226" "2004-05" "Getafe" "Ra£l Albiol Tortajada" "Defender" 14 1
"2227" "2004-05" "Getafe" "Francisco Gallardo Le¢n" "Midfielder" 4 1
"2228" "2004-05" "Getafe" "Valent°n Sergio Pach¢n Mosquero" "Forward" 10 5
"2229" "2004-05" "Getafe" "Miguel Carrilero Gonz†lez" "Forward" 1 5
"2231" "2004-05" "Getafe" "RubÇn Mart°n Pulido" "Defender" 4 0
"2232" "2004-05" "Getafe" "David Garc°a Cubillo" "Midfielder" 2 1
"2233" "2004-05" "Getafe" "Manuel Tena L¢pez" "Defender" 1 0
"2234" "2004-05" "Getafe" "Iv†n Amaya Carazo" "Defender" 5 0
"2236" "2004-05" "Getafe" "Mart°n Ariel Vitali" "Midfielder" 1 0
"2240" "2004-05" "Real Sociedad" "Aitor L¢pez Rekarte" "Midfielder" 24 0
"2241" "2004-05" "Real Sociedad" "Javier Garrido Behobide" "Midfielder" 18 0
"2242" "2004-05" "Real Sociedad" "Mikel Labaka Zurriarain" "Defender" 30 3
"2243" "2004-05" "Real Sociedad" "Luiz Alberto Da Silva Oliveira" "Defender" 27 0
"2244" "2004-05" "Real Sociedad" "Mikel Aranburu Eizaguirre" "Midfielder" 24 3
"2245" "2004-05" "Real Sociedad" "Valeri Georgievich Karpin" "Midfielder" 20 5
"2246" "2004-05" "Real Sociedad" "Mikel Alonso Olano" "Midfielder" 22 0
"2247" "2004-05" "Real Sociedad" "Igor Gabilondo Del Campo" "Midfielder" 4 1
"2248" "2004-05" "Real Sociedad" "Darko Kovacevic" "Forward" 21 8
"2249" "2004-05" "Real Sociedad" "Nihat Kahveci" "Forward" 12 13
"2250" "2004-05" "Real Sociedad" "Garikoitz Uranga Luluaga" "Midfielder" 8 5
"2251" "2004-05" "Real Sociedad" "Fabiano Adriano Rossato" "Defender" 9 1
"2252" "2004-05" "Real Sociedad" "Xabier Prieto Argarate" "Midfielder" 3 0
"2253" "2004-05" "Real Sociedad" "Jeremie Brechet" "Defender" 14 0
"2254" "2004-05" "Real Sociedad" "Iban Zubiaurre Urrutia" "Midfielder" 13 0
"2255" "2004-05" "Real Sociedad" "‡scar De Paula Gamero" "Forward" 6 3
"2256" "2004-05" "Real Sociedad" "JosÇ Javier Barkero Saludes" "Midfielder" 6 3
"2257" "2004-05" "Real Sociedad" "Bittor Alkiza Fern†ndez" "Midfielder" 4 0
"2258" "2004-05" "Real Sociedad" "Mikel Arteta Amatriain" "Midfielder" 2 1
"2259" "2004-05" "Real Sociedad" "Dragan Mladenovic" "Midfielder" 2 0
"2260" "2004-05" "Real Sociedad" "Igor J†uregi Iraola" "Defender" 5 0
"2265" "2004-05" "Osasuna" "Unai Exp¢sito Medina" "Midfielder" 19 0
"2266" "2004-05" "Osasuna" "Enrique Corrales Mart°n" "Midfielder" 27 0
"2267" "2004-05" "Osasuna" "CÇsar Cruchaga Lasa" "Defender" 28 0
"2268" "2004-05" "Osasuna" "JosÇ Romero Urtasun" "Defender" 28 0
"2269" "2004-05" "Osasuna" "Francisco Pu§al Mart°nez" "Midfielder" 24 3
"2270" "2004-05" "Osasuna" "Pablo Gabriel Garc°a PÇrez" "Midfielder" 26 1
"2271" "2004-05" "Osasuna" "Mohammed El Yaagoubi Youbi" "Midfielder" 10 3
"2272" "2004-05" "Osasuna" "Valmiro Lopes Rocha" "Midfielder" 11 5
"2273" "2004-05" "Osasuna" "Pierre Achille Web¢ Kouamo" "Forward" 6 6
"2274" "2004-05" "Osasuna" "Richard Javier Morales Aguirre" "Forward" 9 9
"2275" "2004-05" "Osasuna" "Ludovic Delporte" "Midfielder" 6 0
"2276" "2004-05" "Osasuna" "Savo Milosevic" "Forward" 10 6
"2277" "2004-05" "Osasuna" "I§aki Mu§oz Oroz" "Midfielder" 13 1
"2278" "2004-05" "Osasuna" "John Aloisi" "Forward" 5 6
"2279" "2004-05" "Osasuna" "JosÇ Izquierdo Mart°nez" "Midfielder" 15 0
"2280" "2004-05" "Osasuna" "Juan Manuel Ortiz Palaz¢n" "Midfielder" 3 2
"2281" "2004-05" "Osasuna" "Carlos Javier CuÇllar JimÇnez" "Defender" 10 0
"2282" "2004-05" "Osasuna" "Rafael Clavero Prados" "Midfielder" 11 0
"2283" "2004-05" "Osasuna" "David L¢pez Moreno" "Midfielder" 3 1
"2284" "2004-05" "Osasuna" "Miguel Fla§o Bezunartea" "Defender" 5 0
"2288" "2004-05" "Racing de Santander" "Pedro L¢pez Mu§oz" "Midfielder" 16 1
"2289" "2004-05" "Racing de Santander" "JosÇ Morat¢n Tae§o" "Defender" 33 0
"2290" "2004-05" "Racing de Santander" "Oriol Lozano Farr†n" "Defender" 20 0
"2291" "2004-05" "Racing de Santander" "Juan Manuel Delgado Moreno" "Defender" 18 1
"2292" "2004-05" "Racing de Santander" "Yossi Benayoun" "Midfielder" 23 9
"2293" "2004-05" "Racing de Santander" "Fernando Mor†n Escudero" "Midfielder" 13 1
"2294" "2004-05" "Racing de Santander" "Anderson Silva De Franáa" "Midfielder" 17 2
"2295" "2004-05" "Racing de Santander" "Mario Ignacio Regueiro Pintos" "Forward" 27 8
"2296" "2004-05" "Racing de Santander" "Francisco Javier Garc°a Guerrero" "Forward" 17 8
"2297" "2004-05" "Racing de Santander" "David Aganzo MÇndez" "Forward" 6 7
"2298" "2004-05" "Racing de Santander" "L°bero Parri Romero" "Midfielder" 6 0
"2299" "2004-05" "Racing de Santander" "Hoalid Regragui" "Defender" 14 0
